instance,prep,geo-feature,placename,sum,or,label exp1,label exp 2,label exp 3,label exp 4
 time you buzz sydney stop by and give it a whirl,by,0,1,1,1,0,0,0,0
 next to roble dormitory near the intersection of lomita drive,near,3,1,4,1,2,1,1,0
 to roble dormitory the intersection of lomita drive and santa teresa,of,3,1,4,1,2,1,1,0
 and ridiculing small s allegations against foxes,against,0,0,0,0,0,0,0,0
 will head to north africa for his trail assignment up toubkal,for,2,2,4,1,0,0,0,0
 nibbling at her lunchtime sandwiches she is,at,0,1,1,1,0,0,0,0
 lunchtime sandwiches she is perched on the edge of a chair,on,0,1,1,1,2,1,1,0
 she is perched the edge of a chair by a window,of,0,1,1,1,0,0,0,0
 perched the edge a chair by a window overlooking williamson square,by,0,1,1,1,1,1,0,1
 window overlooking williamson square high in the playhouse heavens,in,0,1,1,1,2,1,1,0
 nicholas knelt by the body,by,0,0,0,0,0,0,0,0
 nick now lives near clitheroe in lancashire,near,0,3,3,1,2,1,1,0
 nick now lives clitheroe in lancashire,in,0,3,3,1,2,1,1,0
 beach coconut beach is located in lagos lagos coastal open cities,in,2,2,4,1,2,1,1,0
 lagos lagos coastal open cities of the west badegry a very,of,2,2,4,1,0,0,0,0
 niobrara river in nebraska valentine nebraska,in,1,1,2,1,2,1,1,0
 small park is particularly beautiful in springtime when hundreds of azaleas,in,3,1,4,1,0,0,0,0
 particularly beautiful springtime when hundreds of azaleas trees bloom on the,of,3,1,4,1,0,0,0,0
 when hundreds azaleas trees bloom on the slopes,on,3,1,4,1,2,1,1,0
 he might ring the house in an hour or so to,in,1,0,1,1,0,0,0,0
 hour or so to see if there were any messages,if,1,0,1,1,0,0,0,0
 no  brings a freight off the dundee line through platform,off,1,1,2,1,2,1,1,0
 a freight the dundee line through platform no  at perth,through,1,1,2,1,2,1,1,0
 dundee line platform no  at perth station on  september,at,1,1,2,1,2,1,1,0
 platform no  perth station on  september ,on,1,1,2,1,0,0,0,0
 to some post office box in west ealing,in,1,2,3,1,2,1,1,0
 you can not be cruel with them,with,0,0,0,0,0,0,0,0
 this time only a couple of redshanks take fright and fly,of,0,0,0,0,0,0,0,0
 fright and fly off yelping in alarm and a female merganser,in,0,0,0,0,0,0,0,0
 and a female merganser swims among the thongweed head poking under,among,0,0,0,0,0,0,0,0
 swims the thongweed head poking under the water to look for,under,0,0,0,0,1,1,0,1
 poking the water to look for small fish,for,0,0,0,0,0,0,0,0
 individuals may be the consequences of a publication the right to,of,0,0,0,0,0,0,0,0
 to free speech must prevail unless the individuals possess an established,unless,0,0,0,0,0,0,0,0
 possess an established legal right that the publication would infringe ,that,0,0,0,0,0,0,0,0
 the publication would infringe  in the case of re x,In,0,0,0,0,0,0,0,0
 would infringe  the case of re x a minor the,of,0,0,0,0,0,0,0,0
 minor the mother and stepfather of a sensitive fourteen year old,of,0,0,0,0,0,0,0,0
 girl sought to stop publication of a book which ascribed depraved,of,0,0,0,0,0,0,0,0
 no one doubts the seriousness of the problems mr major must,of,0,0,0,0,0,0,0,0
 must address the recession foremost among them,among,0,0,0,0,0,0,0,0
 no uprising of deaf and dumb people ever,of,0,0,0,0,0,0,0,0
 dumb people ever took place as the government wisely ignored this,as,0,0,0,0,0,0,0,0
 wisely ignored this particular proposal of the royal commission,of,0,0,0,0,0,0,0,0
 no wonder then that at the cessation of lend,that,1,0,1,1,0,0,0,0
 no wonder then at the cessation of lend lease,at,1,0,1,1,0,0,0,0
 no wonder then the cessation of lend lease which had until,of,1,0,1,1,0,0,0,0
 cessation lend lease which had until vj day bridged the gap,until,1,0,1,1,0,0,0,0
 vj day bridged the gap in the british accounts keynes could,in,1,0,1,1,0,0,0,0
 british accounts keynes could talk of a financial dunkirk,of,1,0,1,1,0,0,0,0
 merely trying to be amusing in the face of marc s,in,0,0,0,0,0,0,0,0
 to be amusing the face of marc s uncompromising thirst for,of,0,0,0,0,0,0,0,0
 face marc s uncompromising thirst for excellence,for,0,0,0,0,0,0,0,0
 no wonder we carry about with us a sense of,about,0,0,0,0,0,0,0,0
 no wonder we carry with us a sense of inescapable,with,0,0,0,0,0,0,0,0
 we carry us a sense of inescapable loss a burden of,of,0,0,0,0,0,0,0,0
 sense inescapable loss a burden of original sin and a propensity,of,0,0,0,0,0,0,0,0
  instead i headed inland from the keralan coast to mysore,from,1,3,4,1,2,1,1,0
 t forget thrupp lift bridge in a hurry,in,1,0,1,1,0,0,0,0
 nolan s a whiz with a gun,with,0,1,1,1,0,0,0,0
 none of the top ten museums were,of,1,2,3,1,0,0,0,0
 the top ten museums were outside north america and europe,outside,1,2,3,1,2,1,1,0
 high  metres wide and over  metres long  a,over,2,0,2,1,0,0,0,0
  a very large mill for its time,for,2,0,2,1,0,0,0,0
 noorat,NOORAT,0,0,0,0,0,0,0,0
 what made her so positive about this assumption that had become,about,0,0,0,0,0,0,0,0
 that had become a fixture in her head unless it was,in,0,0,0,0,0,0,0,0
 become a fixture her head unless it was the fact of,unless,0,0,0,0,0,0,0,0
 head it was the fact of silas s previous near engagement,of,0,0,0,0,0,0,0,0
 the fact silas s previous near engagement to doreen,near,0,0,0,0,0,0,0,0
 nor let them punish me with loss of rhyme,with,0,0,0,0,0,0,0,0
 let them punish me loss of rhyme,of,0,0,0,0,0,0,0,0
 going to make testing difficult in financial and practical terms,in,0,0,0,0,0,0,0,0
 had diminished to little more than a chaperone for maria,than,0,1,1,1,0,0,0,0
 to little more a chaperone for maria,for,0,1,1,1,0,0,0,0
 normal in europe at this time of,in,0,1,1,1,2,1,1,0
 normal europe at this time of year,at,0,1,1,1,0,0,0,0
 normal europe this time of year,of,0,1,1,1,0,0,0,0
 thached cottage up a track from the junction of mountain rd,from,1,1,2,1,2,1,1,0
 up a track the junction of mountain rd and watford rd,of,1,1,2,1,2,1,1,0
 de france winner lance armstrong as his lawyers begin to challenge,as,0,2,2,1,0,0,0,0
 cockpit chronicles getting more out of layovers cockpit chronicles getting more,Of,1,0,1,1,2,1,1,0
 cockpit chronicles getting more out of layovers  parma  where,Of,1,0,1,1,2,1,1,0
 a grand on a wheel of cheese parma  where you,Of,1,0,1,1,2,1,1,0
 a grand on a wheel of cheese,Of,1,0,1,1,2,1,1,0
 s gitdaeryeong missile launch site off the east coast in gangwon,off,2,3,5,1,2,1,1,0
 launch site the east coast in gangwon province has also been,in,2,3,5,1,2,1,1,0
 gangwon province has also been under tight surveillance by neighboring countries,under,2,3,5,1,0,0,0,0
 has also been tight surveillance by neighboring countries,by,2,3,5,1,0,0,0,0
 walk features a great contrast from the beautiful farndale valley to,from,3,1,4,1,2,1,1,0
  an ancient highway running across the moors,across,3,1,4,1,2,1,1,0
 northeast kingdom autumn colors in the northeast kingdom hudson valley,in,1,4,5,1,2,1,1,0
 kingdom hudson valley hudson valley in new york brimfield and sturbridge,in,1,4,5,1,2,1,1,0
 beluga research emergency listing sought for beluga whales factoids celebrate world,for,0,4,4,1,0,0,0,0
 plans to kill its quota of whales,of,0,4,4,1,0,0,0,0
 not all bankers are convinced of the need to change,of,0,0,0,0,0,0,0,0
 not as good as yesterday evening when,as,2,0,2,1,0,0,0,0
 yesterday evening when i dined on roast chicken not very well,on,2,0,2,1,0,0,0,0
 cooked but certainly much better than this homely fare,than,2,0,2,1,0,0,0,0
 bothering to conceal a smirk of satisfaction he announced we re,of,0,0,0,0,0,0,0,0
 not far beneath the sand and shingle is,beneath,1,0,1,1,2,1,1,0
 shingle is a large platform of chalk that continues out to,of,1,0,1,1,0,0,0,0
 continues out to sea exposed in places forming chalk reefs,in,1,0,1,1,2,1,1,0
 not having done very well at school not even allowed to,at,2,0,2,1,0,0,0,0
 she had nevertheless been diligent about her piano lessons and was,about,2,0,2,1,0,0,0,0
 her piano lessons and was in fact quite good on the,in,2,0,2,1,0,0,0,0
 and was fact quite good on the instrument,on,2,0,2,1,0,0,0,0
 not long after acquiring belle vue cottage she,after,0,1,1,1,0,0,0,0
 cottage she began to search for a piece of land in,for,0,1,1,1,0,0,0,0
 began to search a piece of land in the cotherstone area,of,0,1,1,1,2,1,1,0
 to search a piece land in the cotherstone area preferably a,in,0,1,1,1,2,1,1,0
 not only are they marching in common cause with other unions,in,0,0,0,0,0,0,0,0
 are they marching common cause with other unions but the umwa,with,0,0,0,0,0,0,0,0
 umwa is also forging links with groups fighting against conservative forces,with,0,0,0,0,0,0,0,0
 also forging links groups fighting against conservative forces in american society,against,0,0,0,0,0,0,0,0
 links groups fighting conservative forces in american society,in,0,0,0,0,0,0,0,0
 not so in aachen or anywhere in the,in,4,2,6,1,2,1,1,0
 not so aachen or anywhere in the old federal republic where,in,4,2,6,1,2,1,1,0
 kept the public parks devoid of litter and the shopping malls,of,4,2,6,1,0,0,0,0
 and the shopping malls reek of prosperity,of,4,2,6,1,0,0,0,0
 radiates magic to a character with magic sense skill,with,0,0,0,0,0,0,0,0
 not that there s any shortage of,that,0,0,0,0,0,0,0,0
 not there s any shortage of warm underwear for winter use,of,0,0,0,0,0,0,0,0
 s any shortage warm underwear for winter use,for,0,0,0,0,0,0,0,0
 not unnaturally as a conservative supporter this gave,as,0,0,0,0,0,0,0,0
 and he was reasonably apprehensive that it would arouse criticism from,that,0,0,0,0,0,0,0,0
 apprehensive it would arouse criticism from other persons of the same,from,0,0,0,0,0,0,0,0
 would arouse criticism other persons of the same political persuasion,of,0,0,0,0,0,0,0,0
 note if appropriate an estimate of fees,If,0,0,0,0,0,0,0,0
 note appropriate an estimate of fees may be provided couched,of,0,0,0,0,0,0,0,0
 fees may be provided couched with suitable caveats and the person,with,0,0,0,0,0,0,0,0
 noteworthy is a second dedication in this regard of a single,in,0,0,0,0,0,0,0,0
 a second dedication this regard of a single poem to marc,of,0,0,0,0,0,0,0,0
 chagall also a russian jew of hasidic extraction whose rich symbolism,of,0,0,0,0,0,0,0,0
 nothing in other words could be sharper,in,0,0,0,0,0,0,0,0
 other words could be sharper than russell s condemnation of traditional,than,0,0,0,0,0,0,0,0
 be sharper russell s condemnation of traditional christianity,of,0,0,0,0,0,0,0,0
 handing me a full mug of cider,of,0,0,0,0,0,0,0,0
 nothing more well other than have lunch at the correct,than,1,0,1,1,0,0,0,0
 more well other have lunch at the correct hour,at,1,0,1,1,0,0,0,0
 sick a lot slept badly from indigestion and was disappointed with,from,0,0,0,0,0,0,0,0
 badly indigestion and was disappointed with herself,with,0,0,0,0,0,0,0,0
 the large square monument surmounted by an urn standing by the,by,1,1,2,1,2,1,1,0
 monument surmounted an urn standing by the path about midway between,by,1,1,2,1,2,1,1,0
 an urn standing the path about midway between the porch and,about,1,1,2,1,2,1,1,0
 urn standing the path midway between the porch and the eastern,between,1,1,2,1,2,1,1,0
 notintone place is the name of a well known street in,of,3,1,4,1,0,0,0,0
 name a well known street in sneinton and forms a sort,in,3,1,4,1,2,1,1,0
 sneinton and forms a sort of half way house between the,of,3,1,4,1,2,1,1,0
 a sort half way house between the ancient and modern name,between,3,1,4,1,0,0,0,0
 the ancient and modern name for this ancient settlement,for,3,1,4,1,0,0,0,0
 nottingham from london road c,from,1,1,2,1,2,1,1,0
 the second best shopping area in england outside london with approximately,in,1,3,4,1,2,1,1,0
 second best shopping area england outside london with approximately  million,outside,1,3,4,1,2,1,1,0
 best shopping area england london with approximately  million regular shoppers,with,1,3,4,1,0,0,0,0
 nottingham the self proclaimed queen of the midlands is said to,of,2,4,6,1,2,1,1,0
 is said to be one of england s finest cities and,of,2,4,6,1,2,1,1,0
 travel to the city center from all parts of the midlands,from,2,4,6,1,2,1,1,0
 the city center all parts of the midlands for its wide,of,2,4,6,1,2,1,1,0
 center all parts the midlands for its wide variety of shops,for,2,4,6,1,0,0,0,0
 the midlands its wide variety of shops and stores,of,2,4,6,1,0,0,0,0
 notts cc war memorials in shire hall nottingham rachel farrand,in,2,1,3,1,2,1,1,0
 farrand has transcribed the names of those employees of nottinghamshire county,of,2,1,3,1,0,0,0,0
 transcribed the names those employees of nottinghamshire county council who appear,of,2,1,3,1,0,0,0,0
 nottinghamshire county council who appear on the first and second world,on,2,1,3,1,0,0,0,0
 and second world war memorials in shire hall nottingham,in,2,1,3,1,2,1,1,0
 notwithstanding that from  onwards the,Notwithstanding,2,0,2,1,0,0,0,0
 that from  onwards the authors of,from,2,0,2,1,0,0,0,0
 that  onwards the authors of a series of black papers,of,2,0,2,1,0,0,0,0
 onwards the authors a series of black papers saw fit to,of,2,0,2,1,0,0,0,0
 saw fit to castigate schools for falling standards,for,2,0,2,1,0,0,0,0
 novell is holding off announcement of a general release date until,of,0,0,0,0,0,0,0,0
 announcement a general release date until later in the year,until,0,0,0,0,0,0,0,0
 a general release date later in the year,in,0,0,0,0,0,0,0,0
 november   more on the united states and international,ON,3,1,4,1,0,0,0,0
 now you might feel that there is a significant difference,that,0,0,0,0,0,0,0,0
 there is a significant difference between a murderer or bank robber,between,0,0,0,0,0,0,0,0
 who has been wrongfully convicted of murder or bank robbery,of,0,0,0,0,0,0,0,0
 now  carriers are flying into tegel airport foremost among them,into,1,1,2,1,2,1,1,0
 are flying tegel airport foremost among them lufthansa which was founded,among,1,1,2,1,0,0,0,0
 them lufthansa which was founded in berlin in ,in,1,1,2,1,2,1,1,0
 lufthansa which was founded berlin in ,in,1,1,2,1,0,0,0,0
 now americans boast of their own princess  maria,of,0,0,0,0,0,0,0,0
  maria shriver attractive niece of the late john f kennedy,of,0,0,0,0,0,0,0,0
 late john f kennedy wife of film star arnold schwarzenegger and,of,0,0,0,0,0,0,0,0
 now if you look at the first,if,0,0,0,0,0,0,0,0
 now you look at the first four figures there,at,0,0,0,0,0,0,0,0
 want to have a guess at what those first four figures,at,0,0,0,0,0,0,0,0
 has been rendered virtually obsolete by the introduction of quasi military,by,0,0,0,0,0,0,0,0
 rendered virtually obsolete the introduction of quasi military squads of police,of,0,0,0,0,0,0,0,0
 the introduction quasi military squads of police officers known as swat,of,0,0,0,0,0,0,0,0
 military squads police officers known as swat special weapons and tactics,as,0,0,0,0,0,0,0,0
 metal gate which you cross into the next field,into,3,0,3,1,2,1,1,0
 governing bodies have a degree of autonomy,of,1,0,1,1,0,0,0,0
 now that he had told her everything,that,0,0,0,0,0,0,0,0
 expected her to condemn him for what he had done but,for,0,0,0,0,0,0,0,0
 now that the group has come to,that,0,0,0,0,0,0,0,0
 come to a better understanding about some aspect of these problems,about,0,0,0,0,0,0,0,0
 a better understanding some aspect of these problems how can they,of,0,0,0,0,0,0,0,0
 they feel empowered to act for change,for,0,0,0,0,0,0,0,0
 now the tears were running down the woman s cheeks unchecked,down,0,0,0,0,1,1,0,1
 o the m goes east alongside,o,1,3,4,1,0,0,0,0
 the m goes east alongside the nassau street line j,alongside,1,3,4,1,2,1,1,0
 z but then branches again up myrtle avenue to the middle,up,1,3,4,1,2,1,1,0
 avenue to the middle village in queens,in,1,3,4,1,2,1,1,0
 would have left his church if his pastor had not retired,if,1,1,2,1,0,0,0,0
 obituary of brig jack winchester,of,0,0,0,0,0,0,0,0
 obituary of wim van leer,of,0,0,0,0,0,0,0,0
 observing a heated argument among the players over a game,among,0,0,0,0,0,0,0,0
 a heated argument the players over a game of cards chapman,over,0,0,0,0,0,0,0,0
 argument the players a game of cards chapman thought that if,of,0,0,0,0,0,0,0,0
 a game cards chapman thought that if they put as much,that,0,0,0,0,0,0,0,0
 a game cards chapman thought if they put as much consideration,if,0,0,0,0,0,0,0,0
 as much consideration and earnestness into their football their game could,into,0,0,0,0,0,0,0,0
 occasional observations of black bear mountain lion bobcat,of,5,0,5,1,2,1,1,0
 deer also occurover  species of migratory and resident birds are,of,5,0,5,1,0,0,0,0
 and resident birds are known for this area including the grassland,for,5,0,5,1,0,0,0,0
 attracted to the open water of adjacent horsetooth reservoir and park,of,5,0,5,1,2,1,1,0
 occupying the top four floors of mandalay bay s main building,of,2,1,3,1,2,1,1,0
 the four seasons is one of the most exclusive and high,of,2,1,3,1,2,1,1,0
 exclusive and high end accommodations in las vegas,in,2,1,3,1,2,1,1,0
 ocean waves up to  feet  meters,up,4,4,8,1,0,0,0,0
 to  feet  meters above normal sea level were detected,above,4,4,8,1,2,1,1,0
 normal sea level were detected by deep ocean gauges near wake,by,4,4,8,1,0,0,0,0
 were detected deep ocean gauges near wake island midway and guam,near,4,4,8,1,2,1,1,0
 wake island midway and guam in the north pacific said chip,in,4,4,8,1,2,1,1,0
 said chip mccreary a spokesman for the pacific tsunami warning center,for,4,4,8,1,0,0,0,0
 october   more on the united states and wildlife,ON,4,0,4,1,0,0,0,0
 october   more on the united states and political,ON,1,0,1,1,0,0,0,0
 and legislation regulation and deregulation of industry judicial watch house of,OF,1,0,1,1,0,0,0,0
 deregulation industry judicial watch house of representatives delay tom,OF,1,0,1,1,0,0,0,0
 of course our bodily forms and,Of,0,0,0,0,0,0,0,0
 somewhat disorganized working systems were in contradiction to their understanding of,in,0,0,0,0,0,0,0,0
 were contradiction to their understanding of the correct codes of policing,Of,0,0,0,0,0,0,0,0
 their understanding the correct codes of policing,Of,0,0,0,0,0,0,0,0
 of course scientists confer with their,Of,0,0,0,0,0,0,0,0
 course scientists confer with their colleagues,with,0,0,0,0,0,0,0,0
 of that i have no doubt,Of,0,0,0,0,0,0,0,0
 that i have no doubt but,that,0,0,0,0,0,0,0,0
 but i am equally certain that it was his own hands,that,0,0,0,0,0,0,0,0
 hands which fastened his belt around his neck and fumbled for,around,0,0,0,0,1,1,0,1
 belt his neck and fumbled for the window bar,for,0,0,0,0,0,0,0,0
 of that town who wrote a,of,2,2,4,1,0,0,0,0
 town who wrote a work on the stratification of the earth,on,2,2,4,1,0,0,0,0
 wrote a work the stratification of the earth another is of,of,2,2,4,1,2,1,1,0
 stratification the earth another is of a dean of the irish,of,2,2,4,1,0,0,0,0
 earth another is a dean of the irish church who was,of,2,2,4,1,2,1,1,0
 the irish church who was at one time rector of pleasley,at,2,2,4,1,0,0,0,0
 who was one time rector of pleasley in this neighbourhood and,of,2,2,4,1,2,1,1,0
 was one time rector pleasley in this neighbourhood and was connected,in,2,2,4,1,2,1,1,0
 this neighbourhood and was connected with the chambers family,with,2,2,4,1,0,0,0,0
 of the love she knew he,Of,0,0,0,0,0,0,0,0
 he was growing tired but since her own ardour had considerably,since,0,0,0,0,0,0,0,0
 own ardour had considerably diminished after pilade s birth she was,after,0,0,0,0,0,0,0,0
 not disposed to criticise him for this,for,0,0,0,0,0,0,0,0
 of the wood anciently called clipston,of,4,1,5,1,2,1,1,0
 king grants them common pasture for their cattle and in birkeland,for,4,1,5,1,0,0,0,0
 common pasture their cattle and in birkeland in sherwood forest,in,4,1,5,1,2,1,1,0
 pasture their cattle and birkeland in sherwood forest,in,4,1,5,1,2,1,1,0
 of utah s  state parks,Of,6,1,7,1,0,0,0,0
 state parks  are based around mountain lakes major rivers or,around,6,1,7,1,2,1,1,0
 lakes major rivers or reservoirs for boating and fishing,for,6,1,7,1,0,0,0,0
 even stopped one man cycling towards plymouth carrying the ship s,towards,0,1,1,1,2,1,1,0
 the ship s compass tucked under his arm,under,0,1,1,1,1,1,0,1
 moves to placate the students with promises that their complaints would,with,0,0,0,0,0,0,0,0
 to placate the students promises that their complaints would be looked,that,0,0,0,0,0,0,0,0
 their complaints would be looked into eventually succeeded,into,0,0,0,0,0,0,0,0
 often the old records speak of the church and rectory of,of,2,0,2,1,0,0,0,0
 speak the church and rectory of so and so being given,of,2,0,2,1,0,0,0,0
 it is to this right of presentation this refers,of,2,0,2,1,0,0,0,0
 andre was always a hit with the girls and he did,with,1,0,1,1,0,0,0,0
 appeal and a wonderful way with words but he lacked piers,with,1,0,1,1,0,0,0,0
 that seemed to smoulder away inside him,inside,1,0,1,1,0,0,0,0
 oh grief she thought as she discovered his sharp glance,as,0,0,0,0,0,0,0,0
 she discovered his sharp glance on her she was supposed to,on,0,0,0,0,0,0,0,0
 supposed to be a journalist for goodness sake,for,0,0,0,0,0,0,0,0
 but he employs a man for any heavy work,for,1,0,1,1,0,0,0,0
 also followed equities markets lower as the s&p  index shed,as,1,0,1,1,0,0,0,0
 old sheep lane nottingham looking towards the market place old sheep,towards,2,0,2,1,2,1,1,0
 old sheep lane nottingham looking towards the market place,towards,2,0,2,1,2,1,1,0
 nearly   buildings dating as far back as the s,as,3,0,3,1,0,0,0,0
 the s and are filled with shops and good restaurants,with,3,0,3,1,0,0,0,0
 a youth rarely has available for marriage an age mate female,for,0,0,0,0,0,0,0,0
 female and he must wait for a younger generation of females,for,0,0,0,0,0,0,0,0
 must wait a younger generation of females to mature before cohabitation,of,0,0,0,0,0,0,0,0
 younger generation females to mature before cohabitation with them,before,0,0,0,0,0,0,0,0
 generation females to mature cohabitation with them,with,0,0,0,0,0,0,0,0
 oldham s   win over luton was their best of,over,0,1,1,1,0,0,0,0
 win luton was their best of the season although david pleat,of,0,1,1,1,0,0,0,0
 was their best the season although david pleat refused to concede,although,0,1,1,1,0,0,0,0
 range and meadows are filled with loose haystacks hence the big,with,3,0,3,1,0,0,0,0
 hole s epithet the valley of   haystacks,of,3,0,3,1,0,0,0,0
 olympic torch at everest summit,at,0,1,1,1,0,0,0,0
 omori estate is nestled in the south west corner of,in,1,2,3,1,2,1,1,0
 nestled the south west corner of lake taupo bordered by the,of,1,2,3,1,2,1,1,0
 west corner lake taupo bordered by the omori stream,by,1,2,3,1,2,1,1,0
 on th august the nez perce,On,2,1,3,1,0,0,0,0
 august the nez perce camped at beaver creek,at,2,1,3,1,2,1,1,0
 on  february ardeshir zahedi called,On,1,1,2,1,0,0,0,0
 february ardeshir zahedi called brzezinski from his home in switzerland,from,1,1,2,1,2,1,1,0
 zahedi called brzezinski his home in switzerland,in,1,1,2,1,2,1,1,0
 on  march he was involved,On,1,1,2,1,0,0,0,0
  march he was involved in a scuffle with his prisoners,in,1,1,2,1,0,0,0,0
 he was involved a scuffle with his prisoners at tyburn,with,1,1,2,1,0,0,0,0
 involved a scuffle his prisoners at tyburn,at,1,1,2,1,2,1,1,0
 on a positive note brand new,On,0,1,1,1,0,0,0,0
 cars have now been introduced on the paris brussels berlin and,On,0,1,1,1,2,1,1,0
 on a recent morning only several,On,1,0,1,1,0,0,0,0
 only several hundred visitors stood atop mount sinai popular worldwide among,atop,1,0,1,1,2,1,1,0
 stood mount sinai popular worldwide among christian tourists who come at,among,1,0,1,1,0,0,0,0
 worldwide christian tourists who come at sunrise to see moses cave,at,1,0,1,1,0,0,0,0
 on a recent trip to somerset,On,0,1,1,1,0,0,0,0
 to somerset i became aware that no one was swimming along,that,0,1,1,1,0,0,0,0
 aware no one was swimming along what is an impressive and,along,0,1,1,1,0,0,0,0
 an impressive and beautiful stretch of coastline,of,0,1,1,1,2,1,1,0
 on a saturday afternoon corporal tambini,On,0,0,0,0,0,0,0,0
 tambini tried to cure him of this structural malformation,of,0,0,0,0,0,0,0,0
 on a sudden impulse she declared,On,0,0,0,0,0,0,0,0
 she declared to her father that she was going out,that,0,0,0,0,0,0,0,0
 on arms control issues an announcement,On,1,0,1,1,0,0,0,0
 arms control issues an announcement by the soviet side that it,by,1,0,1,1,0,0,0,0
 an announcement the soviet side that it would stop producing rail,that,1,0,1,1,0,0,0,0
 rail mounted strategic nuclear missiles from the beginning of  was,from,1,0,1,1,0,0,0,0
 strategic nuclear missiles the beginning of  was the one concrete,of,1,0,1,1,0,0,0,0
 was the one concrete outcome of the talks,of,1,0,1,1,0,0,0,0
 on arrival at harwich international you,On,2,0,2,1,0,0,0,0
 arrival at harwich international you ll need,at,2,0,2,1,2,1,1,0
 ll need to cycle round from the station to the motorists,from,2,0,2,1,2,1,1,0
 terminal to board the ferry via the vehicle ramp,via,2,0,2,1,2,1,1,0
 on aug  the anc released,On,1,3,4,1,0,0,0,0
 suspected agents and infiltrators held in camps in uganda and angola,in,1,3,4,1,2,1,1,0
 agents and infiltrators held camps in uganda and angola,in,1,3,4,1,2,1,1,0
 on aug  however shamuyarira denied,On,0,0,0,0,0,0,0,0
 aug  however shamuyarira denied that the president had suffered a,that,0,0,0,0,0,0,0,0
 president had suffered a defeat on the issue and criticized the,On,0,0,0,0,0,0,0,0
 issue and criticized the media for misleading reports,for,0,0,0,0,0,0,0,0
 on back roads from arequipa to,On,1,1,2,1,2,1,1,0
 back roads from arequipa to cuzco deborah telford,from,1,1,2,1,2,1,1,0
 telford combines high altitude cycling with gourmet grazing,with,1,1,2,1,0,0,0,0
 on boulder highway toward henderson,On,1,0,1,1,2,1,1,0
 boulder highway toward henderson,toward,1,0,1,1,2,1,1,0
 on cosmology he generally followed tycho,On,0,0,0,0,0,0,0,0
 brahe whose scheme he reproduced in diagrammatic form,in,0,0,0,0,0,0,0,0
 on her death he became dangerously,On,0,0,0,0,0,0,0,0
 death he became dangerously ill with grief but recovered sufficiently to,with,0,0,0,0,0,0,0,0
 sufficiently to marry the granddaughter of the th duke of devonshire,of,0,0,0,0,0,0,0,0
 the granddaughter the th duke of devonshire,of,0,0,0,0,0,0,0,0
 on his return from america with,On,0,2,2,1,0,0,0,0
 his return from america with presents of nylons,from,0,2,2,1,2,1,1,0
 his return america with presents of nylons and other,with,0,2,2,1,0,0,0,0
 his return america presents of nylons and other goods still,of,0,2,2,1,0,0,0,0
 nylons and other goods still in short supply in england for,in,0,2,2,1,0,0,0,0
 other goods still short supply in england for friends he continued,in,0,2,2,1,2,1,1,0
 goods still short supply england for friends he continued with his,for,0,2,2,1,0,0,0,0
 supply england friends he continued with his usual round of private,with,0,2,2,1,0,0,0,0
 he continued his usual round of private and business engagements,of,0,2,2,1,0,0,0,0
 on its whistle stop tour of,On,1,2,3,1,0,0,0,0
 its whistle stop tour of the pacific his floating island,of,1,2,3,1,2,1,1,0
 his floating island an oahu with propellers found polynesian gentlemen in,with,1,2,3,1,0,0,0,0
 oahu propellers found polynesian gentlemen in waistcoats and wing collars instead,in,1,2,3,1,2,1,1,0
 waistcoats and wing collars instead of savages in feathers,of,1,2,3,1,0,0,0,0
 and wing collars instead savages in feathers,in,1,2,3,1,0,0,0,0
 on july th there was a,On,1,0,1,1,0,0,0,0
 th there was a blessing at st cuthberts church lytham conducted,at,1,0,1,1,2,1,1,0
 st cuthberts church lytham conducted by rev cragg who officiated at,by,1,0,1,1,0,0,0,0
 conducted rev cragg who officiated at jeffrey s conference,at,1,0,1,1,0,0,0,0
 on london road at the corner,On,1,0,1,1,2,1,1,0
 london road at the corner of wright wilson,at,1,0,1,1,2,1,1,0
 london road the corner of wright wilson street,of,1,0,1,1,2,1,1,0
 on mange dans le cabane,On,0,0,0,0,0,0,0,0
 on march  the united kingdom,On,1,1,2,1,0,0,0,0
  the united kingdom government for the first time gave permission,for,1,1,2,1,0,0,0,0
 the first time gave permission for  relatives of argentinian soldiers,for,1,1,2,1,0,0,0,0
 time gave permission  relatives of argentinian soldiers killed in the,of,1,1,2,1,0,0,0,0
  relatives argentinian soldiers killed in the  falklands war to,in,1,1,2,1,0,0,0,0
 war to visit their graves on the islands,On,1,1,2,1,2,1,1,0
 on march    turkish,On,0,1,1,1,0,0,0,0
 turkish journalists joined a march in ankara to honour emec demanding,in,0,1,1,1,2,1,1,0
 honour emec demanding tougher action against terrorism,against,0,1,1,1,0,0,0,0
 on may   up to,On,1,2,3,1,0,0,0,0
 may   up to   squatters in,up,1,2,3,1,0,0,0,0
  to   squatters in arak western iran the second,in,1,2,3,1,2,1,1,0
 city had burnt similar buildings after a boy was run over,after,1,2,3,1,0,0,0,0
 was run over and killed by a municipal truck,by,1,2,3,1,0,0,0,0
 on one occasion for instance with,On,0,0,0,0,0,0,0,0
 one occasion for instance with typical pungency he,for,0,0,0,0,0,0,0,0
 one occasion instance with typical pungency he commented to,with,0,0,0,0,0,0,0,0
  we have no discipline in this bureaucracy,in,0,0,0,0,0,0,0,0
 on one side of the bridge,On,3,0,3,1,2,1,1,0
